Size  BST   AVL
100 147200 37900
200 353500 41700
300 579400 45500
400 851000 51500
500 1040200 50300
600 1256700 55900
700 1462500 56400
800 1899200 60900
900 1922500 61900
1000 2067200 58700
1100 2221500 63200
1200 2396100 79400
1300 2514100 120300
1400 2480800 68300
1500 2723400 71700
1600 2976000 69500
1700 3167000 74700
1800 3010700 123100
1900 1720700 64500
2000 1980700 64400
2100 2346100 77400
2200 2358200 72400
2300 2513200 70600
2400 5417600 113600
2500 6222100 130600
2600 4131300 109400
2700 2172300 71400
2800 1730300 66700
2900 2365200 90400
3000 3278900 114300
3100 2477900 108300
3200 2331100 103700
3300 2151600 79300
3400 2248700 76400
3500 2825500 86300
3600 2846900 79300
3700 3035200 78900
3800 4042800 96200
3900 3591800 79500
4000 3757600 113500
4100 1647100 70400
4200 1863000 71100
4300 2287200 84300
4400 1971200 74300
4500 1977100 96500
4600 2513400 112300
4700 1854900 75100
4800 1849800 69900
4900 2214100 74300
5000 11525700 94500
5100 2715400 75800
5200 2906600 73300
5300 2871200 81400
5400 2862200 80400
5500 2557500 78800
5600 1667400 70900
5700 2069800 78100
5800 1868200 71900
5900 1092700 68800
6000 1290500 67700
6100 1495900 73800
6200 2297300 111100
6300 1481400 102300
6400 1277600 70700
6500 1573400 73600
6600 1913800 82800
6700 1499700 74400
6800 1225300 68300
6900 1439900 71300
7000 1683900 75400
7100 2693100 136100
7200 2780900 115800
7300 3304000 170600
7400 3665000 133000
7500 2922400 85400
7600 3134200 84800
7700 2771900 79200
7800 1333600 76100
7900 1299500 70800
8000 1543700 70400
8100 1775000 71400
8200 2222000 83700
8300 2179800 75900
8400 1487200 73700
8500 1238100 71800
8600 1116800 70700
8700 1447500 80600
8800 1350800 70600
8900 1203700 69800
9000 1113400 71900
9100 1156700 71600
9200 1211500 72000
9300 1438600 77100
9400 1606200 73900
9500 1800200 75700
9600 1804300 77200
9700 1921900 85100
9800 1385900 71700
9900 1248800 68600
10000 1053800 71300
