Size  BST   AVL
100 48900 35800
200 47000 38800
300 55600 41700
400 54900 46900
500 49300 45900
600 56200 46000
700 53900 48700
800 60400 48400
900 51800 52700
1000 63300 54700
1100 89200 56000
1200 54200 54800
1300 53100 69000
1400 53300 53700
1500 49200 53100
1600 71700 55900
1700 54400 56200
1800 55900 74500
1900 57800 63600
2000 66300 71400
2100 108700 79600
2200 62300 63400
2300 57800 60000
2400 59900 62000
2500 57900 63100
2600 104400 73800
2700 66000 62800
2800 62200 61100
2900 62400 60100
3000 57800 61100
3100 89800 60000
3200 68500 71000
3300 65800 70400
3400 66200 68600
3500 64500 66700
3600 94400 67200
3700 61900 66000
3800 61300 63800
3900 63800 63800
4000 70000 65800
4100 91300 67900
4200 68800 69200
4300 67700 67800
4400 63300 66000
4500 66200 65400
4600 133900 64300
4700 62700 68500
4800 70300 69700
4900 62700 67800
5000 77000 84000
5100 133300 121100
5200 107800 140500
5300 86100 101200
5400 85300 90600
5500 79000 88500
5600 91200 105200
5700 158200 80900
5800 70700 79200
5900 74400 76700
6000 112200 83700
6100 86700 123300
6200 69200 73200
6300 72200 75000
6400 72800 75900
6500 85700 74100
6600 104200 98400
6700 75800 92100
6800 135700 85200
6900 75300 80000
7000 73300 77100
7100 72200 79200
7200 71400 76400
7300 70900 74000
7400 68500 73800
7500 68800 75700
7600 91000 91700
7700 84100 75300
7800 126800 96600
7900 109000 143900
8000 71300 95300
8100 78700 81800
8200 73400 77300
8300 79800 80700
8400 72600 75800
8500 72500 77900
8600 68800 72700
8700 75000 73300
8800 76800 77800
8900 134600 78200
9000 78000 80800
9100 77500 81400
9200 77400 80800
9300 72300 81800
9400 79000 81300
9500 78700 84700
9600 77900 84000
9700 74700 85800
9800 77500 83100
9900 143100 89500
10000 79000 84400
