Size  BST   AVL
100 36300 20600
200 48800 21300
300 52800 23200
400 57200 24400
500 58200 24700
600 62400 25500
700 62900 27400
800 66400 27300
900 70000 27100
1000 67500 27700
1100 82600 29000
1200 71400 30900
1300 68600 29000
1400 70600 29400
1500 65200 29000
1600 70100 30200
1700 69600 29100
1800 69900 30800
1900 72800 31000
2000 76700 31000
2100 75100 31900
2200 76400 32600
2300 75000 31900
2400 74500 31600
2500 76300 31700
2600 74400 32300
2700 76800 31400
2800 80000 33800
2900 80000 32400
3000 76500 34200
3100 79200 32500
3200 78200 32000
3300 79100 32300
3400 81100 34000
3500 81900 32200
3600 80000 34200
3700 82100 33300
3800 81500 33000
3900 81100 33400
4000 85200 32800
4100 82500 32700
4200 93400 33800
4300 85500 34900
4400 83300 34100
4500 86600 33200
4600 85000 33200
4700 83700 33300
4800 87900 34100
4900 82900 33500
5000 82800 34500
5100 103200 39800
5200 100700 42600
5300 84200 35100
5400 84400 37300
5500 83400 34400
5600 89900 36400
5700 83100 33700
5800 83200 34900
5900 103000 34100
6000 121800 48300
6100 101100 34400
6200 83100 35300
6300 85200 49900
6400 84400 56700
6500 144200 55500
6600 101300 56900
6700 88500 33800
6800 85600 34800
6900 85400 36300
7000 85500 34500
7100 91000 35500
7200 87500 35500
7300 87400 34600
7400 87700 34000
7500 83500 36800
7600 159700 49900
7700 80600 35400
7800 84500 35000
7900 125900 77500
8000 105000 36100
8100 86200 36200
8200 84300 35400
8300 90800 36000
8400 83400 36500
8500 88600 36000
8600 84800 35200
8700 91200 36800
8800 91800 37200
8900 89700 34300
9000 89200 35500
9100 91600 35900
9200 88200 36500
9300 84900 37300
9400 91900 36500
9500 91400 37500
9600 88900 36400
9700 87700 36300
9800 91100 36200
9900 91600 39200
10000 91700 36800
