Size  BST   AVL
100 140200 19400
200 405300 21200
300 648500 21100
400 949100 22400
500 1193100 22500
600 1460100 23800
700 1710200 23400
800 2089700 25500
900 2238400 24300
1000 2453700 26000
1100 2608600 26300
1200 2602800 27100
1300 2952800 32200
1400 2843600 26500
1500 3072200 27000
1600 3371300 26200
1700 3667700 29000
1800 3541300 30400
1900 1997800 26500
2000 2310000 25900
2100 2657900 28600
2200 2775700 28400
2300 2936700 27800
2400 4244300 54700
2500 13644400 77600
2600 4970300 42400
2700 2479400 27300
2800 2071500 27100
2900 2723800 47300
3000 3713900 37700
3100 2766100 37400
3200 2979200 36500
3300 2511100 29800
3400 2667300 28800
3500 3212400 35300
3600 3300400 29700
3700 3569200 30000
3800 4450100 31600
3900 4115700 26900
4000 4362100 30200
4100 1932700 28100
4200 2228100 28200
4300 2615400 31000
4400 2316700 28400
4500 2403900 32600
4600 2782200 38700
4700 2106800 29000
4800 2203200 29200
4900 2758800 28700
5000 3448100 33900
5100 3169900 29400
5200 3445300 29200
5300 3473300 44600
5400 3336100 30200
5500 3008100 29000
5600 1989900 30000
5700 2359700 32200
5800 2211100 28800
5900 1319000 30900
6000 1567800 27800
6100 1802300 30200
6200 2729300 41400
6300 1766900 38000
6400 1577000 31600
6500 1853800 31700
6600 2279000 33400
6700 2010400 29000
6800 1422800 28700
6900 1679000 28900
7000 2010500 29600
7100 2991300 44000
7200 3232200 38500
7300 7453400 43100
7400 4314600 47600
7500 3315000 32400
7600 3503600 31000
7700 3125700 29900
7800 1594100 30100
7900 1581200 29500
8000 1870900 29600
8100 2145300 29600
8200 2595300 31200
8300 2608900 30700
8400 1751700 30500
8500 1451300 30100
8600 1368800 32100
8700 1672700 31700
8800 1606300 31100
8900 1315200 31400
9000 1318600 31000
9100 1367800 29600
9200 1435300 29900
9300 1742200 31800
9400 1891600 28800
9500 2140500 30900
9600 2183700 30300
9700 2246400 30500
9800 1680200 32000
9900 1449200 30700
10000 1249700 29300
