Size  BST   AVL
100 228400 64800
200 547600 65900
300 902000 81800
400 1138800 73700
500 1328200 72900
600 1563600 67400
700 1651700 72400
800 2476500 81700
900 2039900 69800
1000 2366100 68000
1100 2856200 81000
1200 3075800 72500
1300 3833500 170800
1400 3425500 78000
1500 3797400 117300
1600 4000600 83000
1700 3836700 69400
1800 4048300 88400
1900 4548900 72600
2000 7287600 90900
2100 6384000 135900
2200 5856000 102500
2300 6219500 103100
2400 6021400 115000
2500 5797900 81400
2600 7150100 104300
2700 7379700 96800
2800 31064700 122400
2900 7802300 105200
3000 8962500 127200
3100 7243800 88000
3200 7464800 84100
3300 7697300 83700
3400 7776700 83100
3500 8724400 96400
3600 8344000 107100
3700 8928500 90800
3800 8740900 83400
3900 8772900 85300
4000 11757700 154300
4100 10627200 94300
4200 13102400 145100
4300 13629400 122400
4400 9912700 85600
4500 10714200 109300
4600 11599300 98400
4700 11782100 98300
4800 10813600 89000
4900 13594500 117300
5000 14175100 213200
5100 11903200 101200
5200 12060000 94800
5300 13014000 110200
5400 14765300 124000
5500 15847300 137400
5600 16858500 130200
5700 14509600 108600
5800 13730700 95900
5900 13887300 103200
6000 17200700 152300
6100 16768300 120500
6200 15797800 109500
6300 14567500 93800
6400 18529000 135500
6500 19230500 126600
6600 26688900 171600
6700 17131300 110600
6800 17608500 121000
6900 16896300 100700
7000 55493400 127300
7100 23274000 169200
7200 21944700 141400
7300 21486900 147100
7400 19374300 121800
7500 21857400 130400
7600 20607600 111700
7700 17459500 100200
7800 18701200 100200
7900 31881800 134100
8000 23815900 139400
8100 19352100 100000
8200 22277700 127900
8300 22488700 127100
8400 51726000 160300
8500 23366200 137700
8600 24457100 153300
8700 24161000 128200
8800 25083600 139000
8900 49461800 226100
9000 25361200 161700
9100 24298300 128300
9200 25993200 128600
9300 23287000 117000
9400 22518000 103700
9500 22679600 93800
9600 40021900 159400
9700 28897100 137300
9800 27578600 160500
9900 29728500 153900
10000 26534000 139500
