Size  BST   AVL
100 220100 30000
200 579400 28900
300 1043400 30200
400 1254600 29500
500 1462400 28300
600 1747600 25900
700 1930600 26700
800 2532300 27400
900 2392300 27200
1000 2888000 25900
1100 3304400 29500
1200 3552600 26100
1300 4144500 31900
1400 3839500 28600
1500 4397300 26000
1600 4482400 27800
1700 4586000 26300
1800 4700900 25500
1900 5075600 30100
2000 5829900 28000
2100 7103400 59000
2200 6753200 33900
2300 6991200 33000
2400 7116300 34000
2500 6944600 29500
2600 8249700 37900
2700 7991300 32000
2800 9848200 40400
2900 9395400 35600
3000 10435800 42200
3100 8377700 29600
3200 8631800 30200
3300 8917500 29500
3400 9126100 30600
3500 25034200 31800
3600 9877700 29000
3700 10353000 33200
3800 10173200 28600
3900 10526200 28000
4000 13438700 39500
4100 12003100 30600
4200 15060100 44100
4300 14601800 45200
4400 11907700 27500
4500 12646300 30900
4600 13268500 32200
4700 13289900 30600
4800 12807400 48000
4900 15948900 36000
5000 23513000 39200
5100 14035200 31000
5200 14336300 31600
5300 15358300 36800
5400 17125900 37000
5500 18302200 42100
5600 19251300 43000
5700 16492800 35100
5800 15849700 33100
5900 16365300 32800
6000 19837800 42700
6100 27116100 38000
6200 18127000 34400
6300 17221000 34400
6400 21238200 39600
6500 22233300 39400
6600 29742200 51400
6700 19749100 36400
6800 20310100 37300
6900 19390700 33900
7000 21409900 39200
7100 24181500 36800
7200 24380200 34300
7300 23152400 35700
7400 21737100 34800
7500 43756900 42500
7600 23252600 36400
7700 20935000 30700
7800 21742300 33600
7900 23255000 34300
8000 27297100 45400
8100 23132500 47600
8200 26351500 37300
8300 25874200 39500
8400 30467000 45500
8500 26463600 41200
8600 27975400 45300
8700 26702000 39800
8800 28200600 42400
8900 31087300 44000
9000 28778400 42100
9100 28289300 41000
9200 29729000 40900
9300 27163000 37000
9400 26537300 30600
9500 26741600 30000
9600 39367300 43000
9700 33881000 44800
9800 31533500 42300
9900 34169200 47600
10000 29887000 36900
